HOUSENAME ,SIZE,SUBFREE,QUIET,MENS,WOMENS
MYER 208,Double,,,,
GHUE 442,Double,,,,
GHUE 418,Double,,,,
GHUE 115,Double,,,,
MUSS 313,Double,,,,
GHUE 203,Double,,,,
MYER 308,Double,,,,
MYER 243,Double,,,,
GHUE 405,Double,,,,
GHUE 104,Double,,,,
MUSS 225,Double,,,,
EVAN 109,Triple,,,,
FACL 200,Double,,,,
FACL 105,Double,,,,
MYER 201,Double,,,,
GHUE 314,Double,,,,
GHUE 223,Double,,,,
MUSS 326,Double,,,,
MUSS 317,Double,,,,
MUSS 401,Double,,,,
GHUE 235,Double,,,,
GHUE 441,Double,,,,
FACL 100,Double,,,,
GHUE 415,Double,,,,
GHUE 207,Double,,,,
